Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
96,47,29,50,64,22,0.7000000000000002,0.0225,0.0007875,71.29629629629629
97,36,35,27,67,28,0.6000000000000001,0.0725,0.00045,71.52777777777777
98,38,31,48,52,11,0.3,0.0225,0.000675,70.64043209876542
99,47,33,28,67,17,0.3,0.0825,0.000675,67.9783950617284
100,52,30,51,76,25,0.7000000000000002,0.0125,0.000675,71.29629629629629
0,40,25,40,75,15,0.5,0.0625,0.0,71.91358
1,27,23,43,70,23,0.6000000000000001,0.0325,0.0009,69.67592592592592
2,40,28,46,81,14,0.7000000000000002,0.0425,0.0001125,71.56635802469135
3,43,20,34,51,25,0.3,0.0725,0.000675,67.86265432098766
4,52,14,34,66,24,0.4,0.0625,0.0003375,68.63425925925925
5,30,26,32,75,24,0.5,0.0625,0.0007875,69.25154320987654
6,41,10,47,56,16,0.5,0.0325,0.0001125,68.90432098765432
7,37,27,41,65,10,0.6000000000000001,0.0425,0.0009,70.94907407407408
8,46,33,30,79,21,0.5,0.0325,0.0005625,69.44444444444444
9,53,18,28,71,28,0.6000000000000001,0.0825,0.000675,70.37037037037038
10,33,30,44,76,22,0.3,0.0725,0.000675,68.09413580246914
11,32,11,41,71,16,0.3,0.0425,0.0001125,69.09722222222223
12,37,29,39,53,29,0.8,0.0625,0.00045,73.30246913580247
13,45,27,36,61,21,0.8,0.0525,0.000675,72.68518518518518
14,36,27,31,55,11,0.5,0.0625,0.000225,71.68209876543209
15,25,10,36,68,25,0.4,0.0625,0.0001125,69.1358024691358
16,53,34,44,60,15,0.8,0.0725,0.0001125,71.64351851851852
17,37,23,26,64,23,0.6000000000000001,0.0725,0.0007875,69.63734567901236
18,46,30,37,82,16,0.6000000000000001,0.0825,0.0009,71.10339506172839
19,31,33,26,82,26,0.5,0.0925,0.0,67.24537037037038
20,51,31,47,64,13,0.5,0.0525,0.0007875,71.14197530864197
21,48,21,40,52,20,0.5,0.0125,0.000675,70.83333333333333
22,40,22,44,72,24,0.3,0.0325,0.0009,68.09413580246913
23,45,32,40,53,19,0.3,0.0125,0.00045,68.78858024691358
24,53,26,36,78,23,0.6000000000000001,0.0325,0.000675,69.59876543209879
25,38,10,46,80,24,0.2,0.0125,0.000225,68.1712962962963
26,26,18,49,67,10,0.6000000000000001,0.0825,0.0001125,70.10030864197532
27,31,26,46,72,19,0.2,0.0725,0.0,67.32253086419753
28,46,25,27,61,21,0.5,0.0425,0.0001125,71.2962962962963
29,44,30,30,72,22,0.6000000000000001,0.0625,0.0001125,70.40895061728395
30,27,29,37,74,14,0.7000000000000002,0.0425,0.000675,71.41203703703704
31,32,16,41,69,20,0.7000000000000002,0.0825,0.0,69.7145061728395
32,41,24,52,77,12,0.4,0.0425,0.000225,70.02314814814814
33,27,27,38,61,14,0.7000000000000002,0.0125,0.0001125,71.18055555555556
34,42,35,38,55,21,0.4,0.0725,0.0009,69.98456790123457
35,42,18,37,73,20,0.7000000000000002,0.0825,0.0,70.37037037037037
36,48,21,45,62,27,0.6000000000000001,0.0125,0.0009,71.25771604938272
37,26,23,51,78,19,0.3,0.0925,0.000225,68.78858024691358
38,49,28,44,60,16,0.2,0.0525,0.0007875,69.67592592592592
39,47,23,45,68,16,0.2,0.0225,0.00045,68.82716049382715
40,44,13,36,63,11,0.2,0.0125,0.0,69.05864197530865
41,29,15,38,54,27,0.3,0.0925,0.0007875,67.09104938271605
42,26,20,34,62,14,0.7000000000000002,0.0225,0.0005625,70.98765432098766
43,40,24,40,74,24,0.2,0.0625,0.0003375,67.05246913580248
44,26,23,49,69,27,0.8,0.0325,0.0003375,72.41512345679013
45,27,33,37,71,14,0.3,0.0925,0.0,68.47993827160494
46,30,12,30,73,17,0.4,0.0125,0.00045,69.29012345679013
47,37,26,43,58,17,0.5,0.0225,0.0009,70.79475308641976
48,40,22,53,72,14,0.7000000000000002,0.0425,0.0005625,71.14197530864197
49,34,14,25,66,26,0.6000000000000001,0.0825,0.0001125,69.9074074074074
50,43,13,25,78,15,0.6000000000000001,0.0225,0.000675,70.21604938271605
51,43,10,45,56,23,0.5,0.0625,0.0005625,68.94290123456791
52,36,35,49,72,16,0.4,0.0125,0.0007875,69.86882716049382
53,34,11,32,71,20,0.2,0.0325,0.0005625,68.01697530864197
54,26,28,31,68,12,0.4,0.0325,0.0003375,70.48611111111111
