Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy
65,25,16,43,82,17,0.3,0.0525,0.0009,0.4791666753589146
66,41,17,43,67,23,0.5,0.0325,0.0003375,0.5114682937650225
67,31,12,41,63,12,0.8,0.0525,0.000225,0.2992704957130521
68,30,26,32,51,14,0.7000000000000002,0.0825,0.00045,0.294288199106896
69,54,21,32,65,18,0.2,0.0125,0.000225,0.6172637442995267
70,37,32,50,63,29,0.8,0.0425,0.0,0.3630891658896053
71,47,23,47,74,17,0.4,0.0625,0.0005625,0.352420930473538
72,29,31,53,66,27,0.2,0.0825,0.000675,0.6034469811836972
73,38,32,30,76,23,0.8,0.0325,0.0005625,0.3474813081526777
74,42,32,36,81,27,0.5,0.0925,0.0001125,0.4903631984248165
75,43,13,42,62,15,0.7000000000000002,0.0825,0.0001125,0.325176570185925
76,44,24,32,69,28,0.7000000000000002,0.0325,0.000225,0.4483319300206015
77,44,11,29,67,29,0.8,0.0625,0.00045,0.229656239333525
78,43,34,45,65,13,0.7000000000000002,0.0425,0.0007875,0.307303759700147
79,45,31,28,64,28,0.8,0.0925,0.0,0.1973710575184837
80,54,17,39,75,25,0.2,0.0825,0.0007875,0.3644703252342182
81,28,14,42,60,14,0.2,0.0925,0.0001125,0.3029593660406671
82,44,26,39,51,24,0.7000000000000002,0.0225,0.0003375,0.4014750636844848
83,44,25,51,72,12,0.6000000000000001,0.0825,0.0007875,0.3701255828211615
84,44,17,45,70,23,0.2,0.0625,0.0009,0.338433696742495
85,48,20,32,76,25,0.7000000000000002,0.0125,0.0009,0.4302730991129831
86,52,12,47,56,28,0.5,0.0825,0.0007875,0.2506711401537943
87,40,35,31,67,21,0.6000000000000001,0.0425,0.000675,0.4694638507930898
88,51,32,40,54,19,0.7000000000000002,0.0425,0.0001125,0.3393273195539794
89,46,22,44,74,13,0.3,0.0325,0.000675,0.4828350862789909
90,44,11,45,61,26,0.2,0.0525,0.000225,0.3840554594573764
