Unnamed: 0,n_filters_time,filter_time_length,n_filters_spat,pool_time_length,pool_time_stride,drop_prob,learning_rate_range,decay_range,accuracy,subject_id
82,30,33,34,77,27,0.7000000000000002,0.0225,0.0007875,0.5775239259669285,2
83,30,33,34,77,27,0.7000000000000002,0.0225,0.0007875,0.714634158750405,3
84,46,32,45,77,11,0.3,0.0525,0.0007875,0.3391821775399223,1
85,46,32,45,77,11,0.3,0.0525,0.0007875,0.5823582453599067,2
86,46,32,45,77,11,0.3,0.0525,0.0007875,0.6737398945564537,3
87,30,26,26,72,20,0.3,0.0525,0.0,0.1572734411387661,1
88,30,26,26,72,20,0.3,0.0525,0.0,0.5414632590952548,2
89,30,26,26,72,20,0.3,0.0525,0.0,0.6181720341840297,3
90,32,26,32,54,15,0.2,0.0425,0.0,0.239364558103829,1
91,32,26,32,54,15,0.2,0.0425,0.0,0.5349723059748439,2
92,32,26,32,54,15,0.2,0.0425,0.0,0.6687921301208424,3
93,33,15,26,77,18,0.4,0.0125,0.0005625,0.3212654235485888,1
94,33,15,26,77,18,0.4,0.0125,0.0005625,0.5012240014190095,2
95,33,15,26,77,18,0.4,0.0125,0.0005625,0.4579217236313671,3
96,41,13,44,62,25,0.5,0.0425,0.0009,0.2139292334322535,1
97,41,13,44,62,25,0.5,0.0425,0.0009,0.6387705849504272,2
98,41,13,44,62,25,0.5,0.0425,0.0009,0.4337307722289472,3
99,38,10,34,58,29,0.3,0.0325,0.00045,0.5016763724377227,1
100,38,10,34,58,29,0.3,0.0325,0.00045,0.575296105809409,2
101,38,10,34,58,29,0.3,0.0325,0.00045,0.537592418395636,3
102,44,29,36,75,29,0.6000000000000001,0.0925,0.0001125,0.4071774099177502,1
103,44,29,36,75,29,0.6000000000000001,0.0925,0.0001125,0.4662831664313405,2
104,44,29,36,75,29,0.6000000000000001,0.0925,0.0001125,0.6344829406453018,3
105,31,33,32,54,18,0.3,0.0625,0.000225,0.1331348467198805,1
106,31,33,32,54,18,0.3,0.0625,0.000225,0.523773288905065,2
107,31,33,32,54,18,0.3,0.0625,0.000225,0.4914841153614955,3
108,49,11,36,57,10,0.8,0.0625,0.0005625,0.1305531450823656,1
109,49,11,36,57,10,0.8,0.0625,0.0005625,0.1826307963545002,2
110,49,11,36,57,10,0.8,0.0625,0.0005625,0.3920913343474579,3
111,25,28,52,62,28,0.7000000000000002,0.0125,0.0009,0.3795228080944222,1
112,25,28,52,62,28,0.7000000000000002,0.0125,0.0009,0.54700711073232,2
113,25,28,52,62,28,0.7000000000000002,0.0125,0.0009,0.6986778729855244,3
114,35,29,29,56,19,0.4,0.0925,0.0005625,0.3739441086282878,1
115,35,29,29,56,19,0.4,0.0925,0.0005625,0.4125976876602262,2
116,35,29,29,56,19,0.4,0.0925,0.0005625,0.437971163886442,3
117,35,14,30,55,28,0.3,0.0325,0.0005625,0.5127617063130663,1
118,35,14,30,55,28,0.3,0.0325,0.0005625,0.5940318382913391,2
119,35,14,30,55,28,0.3,0.0325,0.0005625,0.6261207666918537,3
120,41,34,32,76,18,0.3,0.0125,0.0001125,0.6659198950459448,1
121,41,34,32,76,18,0.3,0.0125,0.0001125,0.7870207030933839,2
122,41,34,32,76,18,0.3,0.0125,0.0001125,0.5236817597667629,3
123,35,32,40,58,12,0.2,0.0525,0.0007875,0.2937445888286994,1
124,35,32,40,58,12,0.2,0.0525,0.0007875,0.605023004415804,2
125,35,32,40,58,12,0.2,0.0525,0.0007875,0.7573400902464953,3
126,37,31,35,82,26,0.8,0.0525,0.000675,0.2579525049083883,1
127,37,31,35,82,26,0.8,0.0525,0.000675,0.4153558168241601,2
128,37,31,35,82,26,0.8,0.0525,0.000675,0.5031976989210629,3
129,27,28,49,72,25,0.3,0.0725,0.0003375,0.3975398539286873,1
130,27,28,49,72,25,0.3,0.0725,0.0003375,0.6473901824902237,2
131,27,28,49,72,25,0.3,0.0725,0.0003375,0.8158778015709683,3
132,37,32,44,55,16,0.3,0.0725,0.0007875,0.4021105964893517,1
133,37,32,44,55,16,0.3,0.0725,0.0007875,0.4975186897209597,2
134,37,32,44,55,16,0.3,0.0725,0.0007875,0.5746039794205947,3
135,42,27,52,82,15,0.7000000000000002,0.0825,0.0003375,0.3491008889817634,1
136,42,27,52,82,15,0.7000000000000002,0.0825,0.0003375,0.5517148822165945,2
